#,ENGINEER ONLY - Enter installation client ref (excluding the letters),ENGINEER,Did the engineer arrive on time?,How satisfied were you with the quality and standard of the work that was carried out?,How satisfied were you with the connection speed demonstrated?,Based just on your install experience today how likely are you to recommend Freedom Fibre to a friend or colleague?,Please add any further comments you have that would help better our service.,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID
whdcn4k81gek2ub5g5owhdcn4lnivp0m,10005438,Callum,1,3,5,3,When you drill a hole through the wall as the engineer did do. it created some dust that was not cleaned up.,completed,25/03/2023 10:52,,25/03/2023 10:54,f0f0240483
kr0hzxpyetp6l1cs5yizkr0hzxplo1br,10005553,Mark,1,5,5,5,Very efficient,completed,24/03/2023 14:12,,24/03/2023 14:16,f0f0240483
y70nd3q09zlbg5vsrsv5jbty70nd3woz,10005559,Daniel,1,5,5,5,Good service,completed,24/03/2023 14:08,,24/03/2023 14:09,f0f0240483
zwpsu8o8m8zex9s05i086zwpsu8gyn8m,10005445,Callum,1,1,1,1,"Broadband not working at all,",completed,24/03/2023 11:26,,24/03/2023 11:33,f0f0240483
otjyz4xzr2xe25p5t4hwkotjyzlvaqja,10005588,Daniel,1,5,5,5,No,completed,24/03/2023 11:24,,24/03/2023 11:25,f0f0240483
6bkdsqb3wplbknzwncjh6bkdsq0mwa1q,10005580,Mark,1,4,4,4,engineer was fine,completed,24/03/2023 11:21,,24/03/2023 11:22,f0f0240483
yuzey53gmrutnvktpssmpyuzey5jj9ao,10005444,Brandon,1,4,3,4,"not had change to comment on speed, all is well",completed,24/03/2023 11:17,,24/03/2023 11:19,f0f0240483
ixvf7ux44jdd113uixvf7qoihu24g8th,10005441,Brandon,1,5,5,5,"He was very very good, he tidied and showed me everything",completed,24/03/2023 11:15,,24/03/2023 11:16,f0f0240483
zj3jxaa0w2goij45xy5zj3jxaas00ev1,10005586,Anthony,1,5,5,5,He did a fantastic job,completed,24/03/2023 11:13,,24/03/2023 11:15,f0f0240483
6s6pfvehtgshu8a26b6s6pfvehbf9524,10005437,Callum,1,5,3,5,Havant notice difference in the speed.,completed,24/03/2023 10:56,,24/03/2023 10:57,f0f0240483
ji8ipffzzr5qrt3w1kji8i7tvjo2yezx,10005568,Mark,1,5,5,5,No,completed,24/03/2023 10:46,,24/03/2023 10:47,f0f0240483
2qr4ps8sj0yy1q4bohg5j2qr4psx5wkv,10005565,Anthony,1,4,4,4,No,completed,24/03/2023 10:01,,24/03/2023 10:43,f0f0240483
ymybswrwjte3to2pyxvxkymybswriyal,10005552,Mark,1,5,5,5,it was good,completed,24/03/2023 09:59,,24/03/2023 10:00,f0f0240483
2vm873c7fq1b0zr0lcvk2vm8782wqce3,10005557,Paul,1,5,5,5,Everything went really well,completed,24/03/2023 09:51,,24/03/2023 09:53,f0f0240483
mdptfejr7hgxztmdpmbnqlum6zs2jym6,10005554,Anthony,1,5,5,5,Everything was fine thanks very happy,completed,24/03/2023 09:45,,24/03/2023 09:47,f0f0240483
hg7glchfmibaazdh4ae8jxj8hg7glc32,10005432,Brandon,1,5,5,5,"Engineer was really good, worked really well and was please, router needs replacing on off button isnt working",completed,24/03/2023 09:38,,24/03/2023 09:40,f0f0240483
n1suavtv3r9aozn1suzj7k6sozd5lg58,10005318,Mark,1,5,5,5,Really pleased,completed,21/03/2023 14:23,,21/03/2023 14:25,f0f0240483
cs9d3jia70aepcsjlp2oayp9ywx5dgpj,10005283,Daniel,1,5,5,5,No,completed,21/03/2023 13:11,,21/03/2023 13:12,f0f0240483
p2k29wua2lxffetttmhw3p2k29wlnd34,10005763,Mark,1,5,5,5,no,completed,21/03/2023 12:51,,21/03/2023 12:52,f0f0240483
50iu8248cehkgigx5t50iu8n8lbz4rim,10005422,Callum,0,5,5,4,Wasn’t given a appointment time very tidy and vacuumed,completed,21/03/2023 11:49,,21/03/2023 11:51,f0f0240483
9520eckp5j1ehp8952ypib35njpoybhc,10005424,Brandon,1,5,5,5,Keep up the good work,completed,21/03/2023 11:46,,21/03/2023 11:47,f0f0240483
70laegttu7jy272rwge9w70laegtf133,10005543,Paul,1,5,5,5,no,completed,21/03/2023 11:40,,21/03/2023 11:42,f0f0240483
zx0o4c1zmq849qxtzx0og6w4w05p2htd,10005546,Daniel,1,5,5,5,No,completed,21/03/2023 11:34,,21/03/2023 11:35,f0f0240483
7h66d6nsxq56seiy6r7h66gr8tmbe9oc,10005423,Callum,1,5,5,3,Dont like the big brown box outside.,completed,21/03/2023 11:30,,21/03/2023 11:31,f0f0240483
ehzmpt1ped3ztt62t7nrehzm585c3oi4,10005325,Brandon,1,5,5,5,it all went very well,completed,20/03/2023 11:14,,20/03/2023 11:15,f0f0240483
bney3b2pqv89zwjph0owebney3472p7t,10005164,Mark,1,5,5,5,"Just 1 issue, the original appointment i had to contact to change the date but got no reminder.",completed,20/03/2023 11:10,,20/03/2023 11:11,f0f0240483
sfozm4iapz64m55y1sfolr8gxcg1r93x,10005348,Mark,1,5,5,5,it all was fine,completed,16/03/2023 14:37,,16/03/2023 14:38,f0f0240483
idi4o4gdv5fuh9t6idik6x210b69cmpn,10005362,Daniel,1,5,5,5,Customer has advised that the broadband has stopped working but has contacted TT.,completed,16/03/2023 14:29,,16/03/2023 14:31,f0f0240483
loios0kb56kw3k0tfz5kloirt9j0rsqj,10005346,Daniel,1,5,5,5,made a cup of coffee which he took outside he then went up the pole then put the coffee on bin and they took the cup as well but its one of those thing. i just mentioned that as it was amusing he was superb,completed,16/03/2023 10:15,,16/03/2023 10:17,f0f0240483
y9kr2x2yp88e2yak1nzy9kr2pd83m8dk,10005354,Daniel,1,5,4,4,"Too early to comment on speed, the installers were lovely",completed,16/03/2023 09:33,,16/03/2023 09:44,f0f0240483
ze2in26c3wahczze2i24pqb19wykm38h,10005352,Paul,1,5,3,5,"Noticed no difference in the speed,",completed,16/03/2023 09:29,,16/03/2023 09:31,f0f0240483
ohvpwy5wz68cohvpijnukmmpvojc2bas,10005337,Daniel,1,5,5,5,I didn't know it was going to be faster.,completed,15/03/2023 13:40,,15/03/2023 13:41,f0f0240483
xomiju32f2vivw9ngf70xxomije8m0bw,10005334,Brandon,0,5,5,4,"Informed customer that they will be late, wasnt there for installation. mystified at the beginning on how it all as going to work.",completed,15/03/2023 13:36,,15/03/2023 13:39,f0f0240483
mtb4zltdoxo3q9mzcimtb4zgdqfcowbq,10005319,Paul,1,5,5,5,no comment,completed,15/03/2023 13:26,,15/03/2023 13:33,f0f0240483
vsm9d767aw17mvsmpcpwae6uqw6bhroh,14307848,Mark,1,1,4,3,"Ont has fallen off, leaves two holes on wall and looks a mess, would like repaired asap",completed,15/03/2023 10:01,,15/03/2023 10:05,f0f0240483
3gm6o1eeez6ca6snss23gm6o1eers1no,10005328,Paul,1,5,5,5,reluctant to drill from outside to in and had to be persuaded. apparently never been asked to drill from out to and aim delighted with the installation.,completed,15/03/2023 09:58,,15/03/2023 10:00,f0f0240483
2qnbgng9urdmnfu1bkc2qnbgng9a2mbm,10005415,Callum,1,5,4,5,Nothing to do with installation,completed,15/03/2023 09:52,,15/03/2023 09:54,f0f0240483
s8j2xq824t09bi37ws8j2xjktche0hvp,10005391,Callum,1,5,5,5,Engineer was great,completed,15/03/2023 09:51,,15/03/2023 09:52,f0f0240483
5azzl8gtlcxx4g045azglgc65ebh666g,10005332,Anthony,1,5,3,4,"Haven't noticed a different in speed, tony was brilliant",completed,15/03/2023 09:47,,15/03/2023 09:49,f0f0240483
3ytxs3bqq39souo9w96j3ytxs3knmddi,10005342,Daniel,1,5,5,5,"The guys were very good, no mess, very friendly",completed,15/03/2023 09:43,,15/03/2023 09:44,f0f0240483
pciuln62lo6qixhnll7pciu1fpxt2qvf,10005322,Paul,1,4,4,5,pain free and straight forward,completed,15/03/2023 09:31,,15/03/2023 09:35,f0f0240483
dhrqhwjwxgknm3hlu6wsdhrqzo7tub98,10005378,Daniel,1,5,5,5,all good no problem,completed,15/03/2023 09:26,,15/03/2023 09:27,f0f0240483
muheiucwco6cfkdzz018muhei1ff6peg,10005310,Mark,1,5,5,5,He did a fantastic job,completed,15/03/2023 09:18,,15/03/2023 09:19,f0f0240483
jh69rynulte5miz9jh69rik11pmy9zwu,10005311,Callum,1,5,5,5,very good very friendly,completed,15/03/2023 09:16,,15/03/2023 09:17,f0f0240483
g8400tm9iilemdw0qlg840cvtwy2j1u8,10005300,Paul,1,5,5,5,was all good,completed,11/03/2023 14:34,,11/03/2023 14:35,f0f0240483
ac19ce33w22sqojac195c4ohpezfzz53,10005281,Callum,1,4,4,4,"Where they put the ont the place where it is is a little bit tight in regard to the connection going into the box, Have not noticed a difference with the speed since upgrade.",completed,11/03/2023 14:12,,11/03/2023 14:16,f0f0240483
564o2eymytdnxdiu0s564o6ns53kzfnv,10005290,Brandon,1,5,5,5,First class service,completed,11/03/2023 14:10,,11/03/2023 14:11,f0f0240483
i2ztxnrwjny6wppi2znnennn1ea6ahvu,10005284,Daniel,1,5,4,5,"Not noticed a difference in speed, engineer was good nice and polite and tidy put covers on his boots, put everything where we asked",completed,11/03/2023 14:07,,11/03/2023 14:08,f0f0240483
nb4kxeaib6zrxi2nb4kxeklfxuyzwx35,142729891,Brandon,1,5,5,5,"The guy who came said he cant put Netflix putting it. why is it suddenly in the kitchen, i dint want it kitchen i wanted it in living room.",completed,11/03/2023 11:02,,11/03/2023 11:08,f0f0240483
okql7y5psa0npbokql76calh22wmq6hb,10005307,Paul,1,5,5,5,"Absolutely fantastic, Paul was amazing explained everything",completed,11/03/2023 10:52,,11/03/2023 11:00,f0f0240483
6g17ts1eur55oz4j3ps586g17ts1e2yz,10005275,Mark,1,5,5,5,the only problem we had was during the night we lost the internet connection but its been okay since.,completed,11/03/2023 10:40,,11/03/2023 10:51,f0f0240483
8ihxbf19ulg3c5h248juu8ihxbf11l9a,10005134,Mark,0,5,4,5,"Engineer did inform of being late due to weather conditions, i have got a landline as well and when i came back the landline ahs gone down. wasn't informed landline was separate connection.",completed,11/03/2023 10:36,,11/03/2023 10:38,f0f0240483
9a2uiyfk48mjrhfqywdr9a2uog82nhq1,10005263,Anthony,1,5,5,5,very nice gentleman very efficnet no complaints,completed,09/03/2023 15:11,,09/03/2023 15:12,f0f0240483
px5pe3ftzuvqm6ypx5pphh664ihgjxn8,10005385,Daniel,1,5,5,#N/A,No,completed,09/03/2023 11:43,,09/03/2023 11:45,f0f0240483
u31u04l68dti0ixyo9lrpfu31u04j8tp,10005269,Mark,0,5,5,5,"Engineer was early, really good guys friendly helpful did a good job",completed,09/03/2023 11:41,,09/03/2023 11:42,f0f0240483
dtaemzflp4750i54zkdtaoqnoj5weynd,10005255,Brandon,1,5,5,5,the guy who come was spot on,completed,09/03/2023 11:36,,09/03/2023 11:37,f0f0240483
xeuprrsob4yjwbxeuprrgfxlafr585a2,10005272,Callum,1,5,5,5,"Once everything was connected it seems there was a bit of a delay on getting the service activated. think it was down to admin on the other side, i think that could be improved but didn't take away from the quality of the install.",completed,09/03/2023 11:33,,09/03/2023 11:35,f0f0240483
0275pm9wtcomwbdwy0275pik6vpg8vc5,10005271,Anthony,1,5,5,5,No comments,completed,09/03/2023 11:26,,09/03/2023 11:27,f0f0240483
0z6hox714hpv71p0boe0z6h7ioijjjzk,10005265,Callum,1,5,5,5,No comments,completed,09/03/2023 11:22,,09/03/2023 11:23,f0f0240483
vdsxzxzotk0hsf7vdsxzai05dhfencz2,10005261,Paul,1,5,3,5,Speed was not demonstrated but appears to be fine,completed,09/03/2023 11:18,,09/03/2023 11:20,f0f0240483
duwvrkw23wovrbt740es0lhduwvrkwax,10005397,Brandon,1,5,5,5,Very friendly and tidy,completed,08/03/2023 10:58,,08/03/2023 10:59,f0f0240483
s6wghav2v1de0ohs6wgha90vibd3btn6,10005393,Anthony,1,5,4,4,No feedback,completed,08/03/2023 10:56,,08/03/2023 10:57,f0f0240483
zehmtv7ediae6dcfa8n8zehmtvbr5zb5,10005395,Mark,1,5,5,5,Everything went perfect,completed,08/03/2023 10:46,,08/03/2023 10:56,f0f0240483
efb3xy79ugq89k6jujefb3xyhmpygpzn,10005170,Mark,1,5,5,5,Done a good job,completed,07/03/2023 13:44,,07/03/2023 13:46,f0f0240483
zz73pvb0ty212ikztubzz73pvhtpwrhk,10005203,Daniel,1,5,4,5,Not used Broadband yet so cant comment on speed,completed,07/03/2023 13:41,,07/03/2023 13:42,f0f0240483
7046cyx6qzm9ilimlio7046wlfq4ew1x,10005175,Anthony,1,5,5,5,"Engineer has a lot of experience at the end explained how it worked, also showed speed and all really really good",completed,07/03/2023 10:10,,07/03/2023 10:11,f0f0240483
a8mlwx3x66vu4fl68pzfda8mlqaqurbg,10005118,Daniel,1,5,5,5,he said you've got 150mb I've been using computer since fir day and i don't see any difference,completed,06/03/2023 15:50,,06/03/2023 15:52,f0f0240483
a6jv9m2jelyqnr4e1a6jv9rqmxylx3o7,10005195,Mark,1,4,3,5,No feedback,completed,06/03/2023 11:09,,06/03/2023 11:11,f0f0240483
446c5hdhtf01wj21bcofzy446c5hdjug,10005363,Paul,1,5,5,4,Everyone was very nice and very accommodating with what we wanted to do,completed,03/03/2023 11:55,,03/03/2023 11:56,f0f0240483
zkc41s8jfox6pe1u7haezkc41u7mms0t,10005109,Brandon,1,5,5,5,N/A,completed,03/03/2023 11:52,,03/03/2023 11:54,f0f0240483
6kc2jrh96t1eh0qidpl4wc6kc2jruy37,10005107,Brandon,1,3,5,2,"there was a box installed inside, I don’t think that was secure to the wall properly, could see from the beginning that there was movement on the walls. We don’t have very good walls it crumbles away when you drill a hole. I did have a look outside, I asked him id do all the cable management, everything else was fine indoors, regarding the outside part there was a plant pot in the way, when i put the plant pot back i did notice cabling clips that hold the cables on some of them weren't knocked in properly",completed,03/03/2023 11:39,,03/03/2023 11:47,f0f0240483
jdm8a6oew53puhn2ijdm8603kpt7hvqu,10005222,Mark,1,5,5,5,Everything was straight forward and was happy with everything,completed,03/03/2023 11:19,,03/03/2023 11:37,f0f0240483
e4fo2p25tz64khowh4e4fo2p24v6oe9k,10005254,Anthony,1,5,5,4,Only when the guy turned up we had a metal pole instead of a wooden one and delayed the installation. if a pre visit was done it would of made it alot smoother,completed,03/03/2023 11:14,,03/03/2023 11:16,f0f0240483
5p1yd3iobhb80jopvoh7j5p1yd3xj788,10005198,Mark,1,5,5,5,They were efficient and courteous,completed,03/03/2023 11:12,,03/03/2023 11:13,f0f0240483
3rhv6tbc87dkblm3rhvf9om9m7pu806c,10005183,Anthony,1,5,1,4,Was fine for 20 minutes and then became very intermittent. the guys were nice and polite and tidied up after themselves,completed,03/03/2023 10:22,,03/03/2023 10:25,f0f0240483
dp3xmuth13sk81ynor7p6926gudp3xmu,10005173,Anthony,1,5,5,5,bit of problem with phone since i did it. saying connected but n internet,completed,02/03/2023 14:07,,02/03/2023 14:09,f0f0240483
f5mydqa6m06i0usjht56f5mydq9ksa1a,10005163,Paul,1,2,2,5,Signal is too weak due to router being to far away form TV.,completed,02/03/2023 14:01,,02/03/2023 14:03,f0f0240483
mv17y1les11b0v7mv17ae1xpgpxuh3p3,10005101,Brandon,1,5,5,5,The engineer was very helpful,completed,02/03/2023 11:54,,02/03/2023 11:55,f0f0240483
r13o5swmqu4ez5peusr13o5gb16biz49,10005104,Callum,1,5,5,5,N/a,completed,02/03/2023 11:39,,02/03/2023 11:49,f0f0240483
qdkm7sez1txoz69g3z2ip4qlwqdkm7sy,10005186,Paul,1,5,5,5,broadband keeps going off when walking past telephone.,completed,02/03/2023 11:16,,02/03/2023 11:19,f0f0240483
csv19opunsbjnoqlm3qj3kij1csv19op,10005180,Daniel,1,5,5,5,Great service nice present engineer,completed,02/03/2023 10:38,,02/03/2023 10:39,f0f0240483
wwa6ppd4z3hjjf7mt1wwa6p15k6srlrz,10005253,Daniel,0,5,5,5,"When i signed up i was told i would receive a router through the post it never arrived, was told id receive and email and letter and they didn't arrive.",completed,02/03/2023 09:56,,02/03/2023 10:13,f0f0240483
wg66mpmq25crdqnwwg66moxwrgg7y2zo,10005096,Peter,1,4,1,4,Broadband is not working. cant pay gas bill at the moment . the installation was fine.,completed,02/03/2023 09:48,,02/03/2023 09:51,f0f0240483
rghrbc84s4htfbjk88g3krqrghrbcbwo,10005098,Brandon,1,5,5,5,they were good lads,completed,02/03/2023 09:44,,02/03/2023 09:46,f0f0240483
91drxqgyyk4w3rnvxjcn3n891drcmt00,10005161,Mark,1,5,5,5,Couldn't of gone better,completed,02/03/2023 09:38,,02/03/2023 09:39,f0f0240483
q2aqgx6d0k1jvkd5q2aq3jzbtf8olwqs,10005153,Mark,0,5,5,5,n/a,completed,01/03/2023 11:07,,01/03/2023 11:10,f0f0240483
01vtvgul4xqwo2q7y01vt5vzpcqh5rxm,10005157,Mark,0,5,5,5,N/a,completed,01/03/2023 11:01,,01/03/2023 11:02,f0f0240483
q9g76llaibnjkiqr5haw7q9g767zlnqs,10005246,Daniel,0,4,5,5,i think it would of been nice i know if it was pole or underground before hand so they could of prepared,completed,01/03/2023 10:55,,01/03/2023 10:59,f0f0240483
rbxwr5m2pudpsf9u3rbxwckytbp5le19,10005086,Callum,1,5,5,5,"Callum was respectful of the home and property very polite and chatty, explained everything very clearly was a lovely lovely lad",completed,28/02/2023 14:27,,28/02/2023 14:28,f0f0240483
yu1trm2gglje1zworyu1trm2aht7jefr,10005139,Mark,1,5,1,5,"Don't currently have any internet,",completed,28/02/2023 14:11,,28/02/2023 14:13,f0f0240483
yef5qp1dufwiuqhbyef5qpdjacebolgt,10005213,Daniel,1,5,4,5,"Speed was not demonstrated, very nice had to have another chap out to turn wifi back on as accidently turned off and wasn't explained",completed,28/02/2023 14:07,,28/02/2023 14:09,f0f0240483
1q3a62m85f2jvsc1q3hco23m13zqb13j,10005148,Anthony,1,5,5,5,there service was so poor before its like buying a roles Royce,completed,28/02/2023 11:31,,28/02/2023 11:32,f0f0240483
ryuaqgq0em64eqm1v68ryuaqgd3iaeds,10005193,Mark,1,5,1,1,"Service still not activated, and cant recommend And not receiving the service. engineer was fine.",completed,28/02/2023 11:22,,28/02/2023 11:23,f0f0240483
1dba00kck4nrs3zgbu1dbasgilpkn1fz,10005149,Daniel,1,4,3,3,Speeds were not demonstrated and when asked about recommendation they advised we will have to wait and see,completed,28/02/2023 11:17,,28/02/2023 11:19,f0f0240483
8tqhc292pb5ql2i3198tqhd80q0ydztd,10005205,Daniel,1,5,5,5,everything went very well,completed,28/02/2023 11:14,,28/02/2023 11:15,f0f0240483
o1yx8l6rnmr2t0wbo1yx8l62s7bed4ny,10005141,Anthony ,1,5,5,5,No comment,completed,28/02/2023 11:10,,28/02/2023 11:11,f0f0240483
vv3vvfxf2x7q6qi3qeadvv3lro2lv1vj,10005085,Callum,1,3,5,4,"The wiring at the front of the house looks untidy, will try and tidy that up a bit myself.",completed,28/02/2023 11:00,,28/02/2023 11:02,f0f0240483
b1vp6teoa9ykyrp5xdquib1vp6tww920,10005135,Mark,1,5,3,5,Havant has a chance to try the speed  yet that's why its a 3,completed,28/02/2023 10:52,,28/02/2023 10:54,f0f0240483
8w9te65tzxzeq1lh6fam8w9t9nev1r6m,10005077,Callum,1,5,5,5,all went smoothly,completed,27/02/2023 12:56,,27/02/2023 12:57,f0f0240483
oqw6f5wv5pnzwikap80jy3oqwqerwplm,10005212,Paul,1,5,2,2,If it was recommending the actual engineer i would give it a 5 but speeds don't work in any other apart from where the router is a drops out quite often. as soon as it hits peak time i might as well not have broadband,completed,27/02/2023 12:43,,27/02/2023 12:51,f0f0240483
appsfl2lk2zjtzgnappslealpavo0amo,10005080,Callum,1,5,5,5,"Had issue with speed but engineer came back and sorted it, the two guys that came they were very friendly and helpful",completed,27/02/2023 11:28,,27/02/2023 11:30,f0f0240483
ie8xmjpf6k7b7145pkqd0ie8xmjidip0,10005082,Callum,1,5,3,5,Didn't show me  speeds to me so gave middle score,completed,27/02/2023 11:25,,27/02/2023 11:27,f0f0240483
4yepjlrqoo06qxpu4l34yepjmmhjo7xh,10005122,Mark,1,5,5,5,"They called the day before to confirm, everyone was really nice and cleaned up first class i cant complain",completed,27/02/2023 11:10,,27/02/2023 11:24,f0f0240483
izdf2iqiu7ug1dgk9izdfdejiu6wkiyc,10005132,Mark,1,5,5,5,Really good and really happy.,completed,27/02/2023 11:07,,27/02/2023 11:07,f0f0240483
hmk0dltc8lahdiydr4bhmk0848a7wr77,10005111,Anthony,1,5,5,1,"Customer service is not working, engineer did a great job. have been trying to get this sorted from talk talk and sent out the wrong engineer. and services still not working",completed,23/02/2023 11:08,,23/02/2023 11:13,15c01d08b6
rizgcvq46uo0dqaimxkrizgcvyf45fn9,10005079,Callum,1,5,5,5,They were great the two lads that come,completed,23/02/2023 11:06,,23/02/2023 11:07,15c01d08b6
ci6r336d99ge0rp570ci6r3ng0ebpjia,10005116,Anthony,1,2,1,3,"Having intermittent connection, nothing doesn't work.",completed,23/02/2023 11:01,,23/02/2023 11:03,15c01d08b6
7oviehro3tflja7ovieffvax976375ua,10005081,Brandon,1,5,5,5,Happy with install,completed,23/02/2023 09:43,,23/02/2023 09:44,15c01d08b6
3eb085mb4brgaoc9863xv3eb085mx9sh,10005226,Brandon,1,5,4,5,No issues with speeds.,completed,23/02/2023 09:32,,23/02/2023 09:34,15c01d08b6
89sm8jg2yqkw8xap20a389sm8jg2yk50,10005232,Paul,1,5,5,5,The guys were amazing went out of there way to get the job done and very clean and friendly,completed,23/02/2023 09:29,,23/02/2023 09:30,15c01d08b6
79hu7zvx0vvz00yyub79heiy1kyd9kdf,10005233,Mark,1,5,5,5,The only thing is i have not received any documentation.,completed,23/02/2023 09:25,,23/02/2023 09:27,15c01d08b6
jfuvbo2xelg504r8emjfuvbgm6yuhk84,10004932,Anthony,1,5,4,5,No feedback,completed,21/02/2023 09:41,,21/02/2023 09:42,f0f0240483
dm3jb0kbuabywft1jqdm3jj24zu2j104,10004764,Keiron,1,5,3,3,"Speeds: Its a good speed but its not consistent, keeps dropping out. the engineer was extremely and helpful and wasn't their fault for the delay.",completed,21/02/2023 09:36,,21/02/2023 09:38,f0f0240483
tdcer3c96bl6goqwtdcerngpnsd7b707,10004912,Mark,1,5,5,5,Its been great hasn't gone off once,completed,20/02/2023 11:29,,20/02/2023 11:30,f0f0240483
9p6tjqef918uxmr1m269p6tj85isw57x,10005171,Anthony,1,5,5,5,The only problem i have is since Ive upgraded the fire stick keeps jumping more than crashing,completed,20/02/2023 11:11,,20/02/2023 11:13,f0f0240483
vyvkq6xm955ntgllvyvkq6xau13eyt31,10004814,Brandon,1,5,5,5,N/a,completed,20/02/2023 09:54,,20/02/2023 10:30,f0f0240483
5iazf3foyqwzo6gigc05iazh78oq0lnt,10004904,Brandon,0,4,4,5,"The only thing was, before he left he sort of left me a bit in the middle of nowhere, it was only the supervisor that explained everything and put everything back where it should be",completed,20/02/2023 09:49,,20/02/2023 09:51,f0f0240483
jtc1afxehirpzbooyjtc1af4y0bg8u7v,10004719,Anthony,0,3,3,2,"Engineer called the day before to change time slot and was on time but couldn't arrive in original time slot, comunication was terrible, time it took between appointments and having the customer to basically chase everything up. i thought it was going to be 500mb but getting a lot less around 200-300mb",completed,20/02/2023 09:40,,20/02/2023 09:44,f0f0240483
whhfr7tdmzbhm7lgwhm4ujhzmmryo491,10005031,Anthony,1,5,5,5,all as well,completed,20/02/2023 09:27,,20/02/2023 09:28,f0f0240483
o7fqtnp4eooo7dpc0gjdaqv5gjhym7sx,10004848,Mark,1,5,3,4,"Broadband keeps dropping out,",completed,16/02/2023 12:47,,16/02/2023 12:50,f0f0240483
5nylwl921jus11zf355nylwl35oxls3z,10005000,Keiron,1,5,5,5,Just enjoyed they were a good lad,completed,16/02/2023 12:41,,16/02/2023 12:43,f0f0240483
rio9d9thuhz9qud6dd83ryrio9d9fz8o,10005042,Mark,1,5,5,5,Nothing to do with the installation but having range issue will contact freedom fibre for a mesh extender,completed,16/02/2023 10:39,,16/02/2023 10:41,f0f0240483
k3vtduj4xk5wtnlfk3vtd8l12jxyfbbt,10004871,Callum,1,5,5,5,Installation was spot on,completed,16/02/2023 10:01,,16/02/2023 10:07,f0f0240483
hybrsmuctrn4484i8hybenmr6a6mrzrb,10004886,Brandon,1,5,1,2,"Hasn’t worked since installation Engineer did a good job, lovely polite clean and tidy,",completed,15/02/2023 10:53,,15/02/2023 10:56,f0f0240483
rgypovrq4u0necd84rgypo6xqjt71blg,10004881,Callum,1,5,5,5,"went very smoothly, i got an email and a letter explain everything",completed,15/02/2023 10:08,,15/02/2023 10:10,f0f0240483
5non4mxjstui6gap8bo5non4mpk8no5d,10004885,Brandon,1,5,5,5,"The engineer was brilliant, very clean and speeds are amazing",completed,15/02/2023 10:01,,15/02/2023 10:05,f0f0240483
it0ujeg44lj31ixfit0ujacz0kzsvh0f,10005049,Anthony,0,5,1,1,"Not arrived on time but was warned there would be late, couldn’t demonstrate connection speed as services are still not working, Wasn’t the engineers fault, pas it on to someone but not heard anything since and its been over a week",completed,15/02/2023 09:32,,15/02/2023 09:45,f0f0240483
vfdf3n45yx8abkvfdcme8zs1fvuheq6c,10005048,Anthony,1,5,5,5,"I found the whole thing from start to finish to be very profession and a good experience and happy with the product i have so far, very reliable",completed,15/02/2023 09:26,,15/02/2023 09:30,f0f0240483
3kewuvhimqig74vno3kewujrodbe7tvi,10004818,Callum,1,4,5,5,"The only thing I was concerned about was they did the install and everything was fine, then said and i can use my telly now cos its though talk talk on the internet o had to put another box in so didn't have the right information.",completed,14/02/2023 13:21,,14/02/2023 13:24,f0f0240483
r8qbkqks7m96ma6dvr8atngqm12ktmbi,10004859,Callum,1,5,5,5,"Everything went okay, the only thing was i would of liked a bit more time where i was going to put it",completed,14/02/2023 12:51,,14/02/2023 12:53,f0f0240483
thzog5106fp154fee1thzog51q4ipnmg,10004860,Callum,1,5,1,5,"Very nice guy called callum installed it, finished and off they went and it wasn’t working after, they came Wednesday afternoon and it dropped out again, have never had such a miserable time talking to talk talk. Even had one woman saying he was using the 3 year old router which he wasn't, an appointment was made for freedom fibre to come back to the house. Friday received a call for someone to come look, discovered it was something that the freedom fibre computers went switched out. if i ever have to talk talk again i will rip the installation out and go somewhere else.",completed,14/02/2023 12:44,,14/02/2023 12:49,f0f0240483
rkrevj8p7pg4r2ft6fprkrevj8wow402,10004979,Paul,1,5,5,5,only thing is the modem hadn't arrived by the time the engineer came to fit the cable,completed,14/02/2023 12:42,,14/02/2023 12:43,f0f0240483
ck4jxem6kxbw03t42j4okck4jxeu1h1l,10004956,Mark,1,5,5,5,"On the day quite alot of people turned up, the chap who did the installation had 2 people with him very good instructor as well as engineer very polite.",completed,14/02/2023 11:25,,14/02/2023 11:27,f0f0240483
crfuoyzpfzi09si1ludncrfuoye6j90l,10004816,Callum,1,5,3,3,"They Didn't explain about resetting everything, Box was in centre of the property and now in a corner and not serving the whole property as well as it should so speeds are slower.",completed,14/02/2023 10:53,,14/02/2023 10:57,f0f0240483
zn0lqj32278bbf53trngzn0lqj386uks,10004826,Daniel,1,5,5,5,Engineer was very professional and friendly and made us feel at ease,completed,14/02/2023 10:50,,14/02/2023 10:51,f0f0240483
9x6mbrqhgqpzx1s9x6f59erehl2zhz8g,10004813,Brandon,1,5,5,5,"my son said he would love it but cant have it and doesn't live in the area, very chuffed",completed,14/02/2023 10:46,,14/02/2023 10:48,f0f0240483
owno1ylurx06q3ft83sfowno1ie9jp0f,10004817,Brandon,1,5,5,5,N/A,completed,14/02/2023 10:43,,14/02/2023 10:44,f0f0240483
zv17hzqdwulilivv648zv18a1wxp4cg6,10004855,Brandon,1,5,4,5,Everything went as it should of done and that was it,completed,14/02/2023 09:52,,14/02/2023 09:53,f0f0240483
